Concelho,Distrito
PONTE DA BARCA,Viana do Castelo
PONTE DE LIMA,Viana do Castelo
PONTE DE SOR,Portalegre
PORTALEGRE,Portalegre
PORTEL,Évora
PORTIMAO,Faro
PORTO,Porto
PORTO DE MOS,Leiria
PORTO MONIZ,Madeira
PORTO SANTO,Madeira
POVOA DE LANHOSO,Braga
POVOA DE VARZIM,Porto
POVOACAO,Açores
PROENCA-A-NOVA,Castelo Branco
REDONDO,Évora
REGUENGOS DE MONSARAZ,Évora
RESENDE,Viseu
RIBEIRA BRAVA,Madeira
RIBEIRA DE PENA,Vila Real
RIBEIRA GRANDE,Açores
RIO MAIOR,Santarém
SABROSA,Vila Real
SABUGAL,Guarda
SALVATERRA DE MAGOS,Santarém
SANTA COMBA DAO,Viseu
SANTA CRUZ,Madeira
SANTA CRUZ DA GRACIOSA,Açores
SANTA CRUZ DAS FLORES,Açores
SANTA MARIA DA FEIRA,Aveiro
SANTA MARTA DE PENAGUIAO,Vila Real
SANTANA,Madeira
SANTAREM,Santarém
SANTIAGO DO CACEM,Setúbal
SANTO TIRSO,Porto
SAO BRAS DE ALPORTEL,Faro
SAO JOAO DA MADEIRA,Aveiro
SAO JOAO DA PESQUEIRA,Viseu
SAO PEDRO DO SUL,Viseu
SAO ROQUE DO PICO,Açores
SAO VICENTE,Madeira
SARDOAL,Santarém
SATAO,Viseu
SEIA,Guarda
SEIXAL,Setúbal
SERNANCELHE,Viseu
SERPA,Beja
SERTA,Castelo Branco
SESIMBRA,Setúbal
SETUBAL,Setúbal
SEVER DO VOUGA,Aveiro
SILVES,Faro
SINES,Setúbal
SINTRA,Lisboa
SOBRAL DE MONTE AGRACO,Lisboa
SOURE,Coimbra
SOUSEL,Portalegre
TABUA,Coimbra
TABUACO,Viseu
TAROUCA,Viseu
TAVIRA,Faro
TERRAS DE BOURO,Braga
TOMAR,Santarém
TONDELA,Viseu
TORRE DE MONCORVO,Bragança
TORRES NOVAS,Santarém
TORRES VEDRAS,Lisboa
TRANCOSO,Guarda
TROFA,Porto
VAGOS,Aveiro
VALE DE CAMBRA,Aveiro
VALENCA,Viana do Castelo
VALONGO,Porto
VALPACOS,Vila Real
VELAS,Açores
VENDAS NOVAS,Évora
VIANA DO ALENTEJO,Évora
VIANA DO CASTELO,Viana do Castelo
VIDIGUEIRA,Beja
VIEIRA DO MINHO,Braga
VILA DA PRAIA DA VITORIA,Açores
VILA DE REI,Castelo Branco
VILA DO BISPO,Faro
VILA DO CONDE,Porto
VILA DO PORTO,Açores
VILA FLOR,Bragança
VILA FRANCA DE XIRA,Lisboa
VILA FRANCA DO CAMPO,Açores
VILA NOVA DA BARQUINHA,Santarém
VILA NOVA DE CERVEIRA,Viana do Castelo
VILA NOVA DE FAMALICAO,Braga
VILA NOVA DE FOZ COA,Guarda
VILA NOVA DE GAIA,Porto
VILA NOVA DE PAIVA,Viseu
VILA NOVA DE POIARES,Coimbra
VILA POUCA DE AGUIAR,Vila Real
VILA REAL,Vila Real
VILA REAL DE SANTO ANTONIO,Faro
VILA VELHA DE RODAO,Castelo Branco
VILA VERDE,Braga
VILA VICOSA,Évora
VIMIOSO,Bragança
VINHAIS,Bragança
VISEU,Viseu
VIZELA,Braga
VOUZELA,Viseu
